alloy,Nb,Si,Ti,Al,Cr,Hf,Zr,Mo,V,W,Ta,Sn,VEC,x,Δx,ΔHmix,ΔSmix,ΔG,Tm,ΔTm,ρ,r,am,Δa,δ,Ω,Λ,mean_Molar Magnetic Susceptibility,mean_Neutron Cross Section,mean_Neutron Mass Absorption,mean_Space Group Number,mean_Speed of Sound,mean_A1 atomic number,mean_A6 atomic weight,mean_C1 temperature melting,mean_C12 modulus Young,mean_C2 temperature boiling,mean_C3 enthalpy vaporization,mean_C4 enthalpy melting,mean_C5 enthalpy atomization,mean_E13 Electron affinity,mean_E2 electronegativity (Pauling),mean_Electrophilicity Index,mean_Glawe Number,mean_Mass Magnetic Susceptibility,mean_S10 Lattice Constants a,mean_S11 Lattice Constants b,mean_S12 Lattice Constants c,mean_S13 radii atomic (coordination number 12) (pm),mean_S3 radii covalent,mean_Volume Magnetic Susceptibility,mean_共价半径 Pyykko(Double Bond) (pm),mean_共价半径 Pyykko(Single Bond) (pm),mean_共价半径 Pyykko(Triple Bond) (pm),mean_密度,mean_摩尔体积(cm3/mol),mean_摩尔热容(J/mol/k),mean_比热容J/g/k,mean_热导率W/(mk),mean_热膨胀(1/k),mean_电导率(MS/m),mean_电阻率(mΩ),mean_莫氏硬度(MPa),mean_金属半径 12 Neighbors(pm),mean_金属半径(pm),var_Molar Magnetic Susceptibility,var_Neutron Cross Section,var_Neutron Mass Absorption,var_Space Group Number,var_Speed of Sound,var_A1 atomic number,var_A6 atomic weight,var_C1 temperature melting,var_C12 modulus Young,var_C2 temperature boiling,var_C3 enthalpy vaporization,var_C4 enthalpy melting,var_C5 enthalpy atomization,var_E13 Electron affinity,var_E2 electronegativity (Pauling),var_Electrophilicity Index,var_Glawe Number,var_Mass Magnetic Susceptibility,var_S10 Lattice Constants a,var_S11 Lattice Constants b,var_S12 Lattice Constants c,var_S13 radii atomic (coordination number 12) (pm),var_S3 radii covalent,var_Volume Magnetic Susceptibility,var_共价半径 Pyykko(Double Bond) (pm),var_共价半径 Pyykko(Single Bond) (pm),var_共价半径 Pyykko(Triple Bond) (pm),var_密度,var_摩尔体积(cm3/mol),var_摩尔热容(J/mol/k),var_比热容J/g/k,var_热导率W/(mk),var_热膨胀(1/k),var_电导率(MS/m),var_电阻率(mΩ),var_莫氏硬度(MPa),var_金属半径 12 Neighbors(pm),var_金属半径(pm),KQ,
alloy53,61,16,22,0,0,0,0,1,0,0,0,0,4.63,1.6404,12.921,-30.4872,8.097,-49.94874435,2403.55,725.77,6.622069,1.3914,356.2834,82.7343,7.5583,0.63835132,0.141734602,1.987816,2.09606,0.001253,220.98,3447.5,32.51,72.6567257,2403.4,100.38,4400.37,574.952,28.86,629.7798,76.288,1.6404,1.24508,57.71,25.519,356.503,356.503,394.6664,179.16,154.54,0.00018493,120.32,139.53,111.97,6.69484,10.97161,23.92604,0.39314,62.805,0.000006809,4.83716,0.00016018,6.075,144.87,130.8,0.869358372,4.671466436,2.80129E-06,205.8196,430360.75,123.9899,708.6140109,204862.46,1045.2756,630958.2331,17735.4049,100.4812,17086.61992,1622.436056,0.01669584,0.059533374,142.6259,168.994939,6833.474595,6833.474595,7309.013457,963.2144,364.4684,7.39441E-09,44.1776,125.3891,29.2891,6.374785154,0.251718558,3.298561278,0.03019562,1665.467075,3.72762E-12,9.359783294,1.34342E-07,0.036875,9.6731,37.04,10.06,"Z. Li, L. Luo, B. Wang, B. Su, L. Luo, L. Wang, Y. Su, J. Guo, H. Fu, Cooperative effects of Mo and B additions on the microstructure and mechanical properties of multi-elemental Nb-Si-Ti based alloys, Mater. Charact. 206 (2023) 113421."
alloy54,59,16,22,0,0,0,0,3,0,0,0,0,4.65,1.6516,14.811,-30.6024,8.67,-51.4664949,2406.47,728.46,6.645876,1.3901,355.9766,82.8594,7.5608,0.681779694,0.151664381,1.959056,2.12506,0.001263,220.98,3501.7,32.53,72.7175983,2406.32,104.86,4398.27,573.152,28.884,628.2994,76.004,1.6516,1.24408,57.77,25.201,356.189,356.189,394.3524,179,154.34,0.000182596,120.24,139.35,111.91,6.72904,10.94147,23.91524,0.39286,64.511,0.000006759,5.10316,0.000160178,6.065,144.73,130.72,0.87697609,4.657803956,2.78913E-06,205.8196,577828.11,124.3491,711.2608761,207304.3976,2070.1204,628584.4771,17515.9921,100.410544,16888.39317,1620.814984,0.02193744,0.059550534,142.2371,172.626499,6854.698483,6854.698483,7354.20396,958.44,362.6444,7.41827E-09,43.7424,124.2875,28.9819,6.560358458,0.304104289,3.289719102,0.03027122,1777.012179,3.80102E-12,13.81785817,1.34343E-07,0.043275,10.3171,36.8416,8.68,"Z. Li, L. Luo, B. Wang, B. Su, L. Luo, L. Wang, Y. Su, J. Guo, H. Fu, Cooperative effects of Mo and B additions on the microstructure and mechanical properties of multi-elemental Nb-Si-Ti based alloys, Mater. Charact. 206 (2023) 113421."
alloy55,57,16,22,0,0,0,0,5,0,0,0,0,4.67,1.6628,16.41,-30.6984,9.1164,-52.663363,2409.39,731.11,6.669815,1.3888,355.6698,82.9832,7.562,0.715508398,0.159422651,1.930296,2.15406,0.001273,220.98,3555.9,32.55,72.7784709,2409.24,109.34,4396.17,571.352,28.908,626.819,75.72,1.6628,1.24308,57.83,24.883,355.875,355.875,394.0384,178.84,154.14,0.000180262,120.16,139.17,111.85,6.76324,10.91133,23.90444,0.39258,66.217,0.000006709,5.36916,0.000160176,6.055,144.59,130.64,0.882939534,4.642459476,2.77677E-06,205.8196,719420.19,124.7075,713.9003304,209729.2824,3054.8244,626201.9011,17290.0993,100.338736,16685.78326,1619.0326,0.02692816,0.059565694,141.8411,176.055811,6875.725179,6875.725179,7399.197271,953.6144,360.7404,7.43125E-09,43.2944,123.1211,28.6675,6.743592482,0.354673181,3.280643646,0.030346664,1882.736411,3.86942E-12,18.13442105,1.34344E-07,0.049475,10.9219,36.6304,7.31,"Z. Li, L. Luo, B. Wang, B. Su, L. Luo, L. Wang, Y. Su, J. Guo, H. Fu, Cooperative effects of Mo and B additions on the microstructure and mechanical properties of multi-elemental Nb-Si-Ti based alloys, Mater. Charact. 206 (2023) 113421."
alloy56,56,16,22,2,2,0,0,0,2,0,0,0,4.7,1.6368,11.802,-31.6048,9.8582,-54.70275976,2343.02,760.96,6.4207,1.3863,356.6134,83.5615,7.7383,0.730837081,0.16462906,1.963056,2.18042,0.001932,220.9,3523.6,31.24,69.65028997,2342.8694,101.38,4288.12,556.774,28.225,611.4176,74.412,1.6368,1.23234,58.24,26.324,356.815,356.815,394.9784,176.46,153.06,0.000186327,119.58,138.44,111.44,6.48354,10.847402,23.90424,0.41408,65.962,0.000007124,5.32016,0.000160179,6.085,144.28,130.12,0.939559062,4.882335364,1.89286E-05,204.85,552923.04,128.7424,733.3398883,237948.9394,1192.3556,702147.3456,19892.45632,110.234425,19335.24662,1652.814656,0.01392976,0.062296384,149.8624,207.503024,6971.840529,6971.840529,7423.565429,1016.6084,385.1764,8.89467E-09,46.7236,131.8064,30.5264,6.356711848,0.646411263,3.301917382,0.034057794,2240.129156,9.00742E-12,28.83749773,1.34343E-07,0.389025,17.0416,41.0656,14.6,"Z. Li, L. Luo, B. Wang, B. Su, L. Luo, L. Wang, Y. Su, J. Guo, H. Fu, The effects of V or Sn addition on the microstructural characteristics and mechanical properties of Nb-16Si-22Ti-2Al-2Cr alloy, Int. J. Refract. Met. Hard Mater 120 (2024) 106606."
alloy57,53,16,22,2,2,0,0,0,5,0,0,0,4.6,1.6377,11.785,-31.6012,10.5511,-56.14316411,2326.01,756.33,6.348599,1.3829,355.8022,83.9459,7.7848,0.776614942,0.174101623,1.982226,2.29772,0.002019,220.9,3556,30.7,68.39134387,2325.8594,102.07,4247.11,550.174,27.946,604.8926,73.347,1.6377,1.22637,58.27,27.38,355.993,355.993,394.1564,175.65,152.73,0.000190728,119.19,138.05,111.14,6.40974,10.772294,23.91294,0.4208,65.272,0.000007157,5.26916,0.000160181,6.115,143.92,129.76,0.974328037,5.085482542,1.89067E-05,204.85,584040,127.63,726.0301499,233453.6862,1212.7451,696743.4579,19674.31312,113.546434,19125.20817,1664.592491,0.01388971,0.063106573,149.5771,246.254,7037.113905,7037.113905,7551.579435,1002.9275,381.4771,9.96695E-09,47.4139,130.0475,30.7004,6.224851912,0.829772123,3.316470916,0.03351428,2272.444616,9.05425E-12,28.78085305,1.34342E-07,0.413025,19.9936,42.4624,16.4,"Z. Li, L. Luo, B. Wang, B. Su, L. Luo, L. Wang, Y. Su, J. Guo, H. Fu, The effects of V or Sn addition on the microstructural characteristics and mechanical properties of Nb-16Si-22Ti-2Al-2Cr alloy, Int. J. Refract. Met. Hard Mater 120 (2024) 106606."
alloy58,48,16,22,2,2,0,0,0,10,0,0,0,4.6,1.6392,11.756,-31.5792,11.3517,-57.66154702,2297.66,747.16,6.22617,1.3773,354.4502,84.5654,7.8456,0.825934382,0.184420239,2.014176,2.49322,0.002164,220.9,3610,29.8,66.29310037,2297.5094,103.22,4178.76,539.174,27.481,594.0176,71.572,1.6392,1.21642,58.32,29.14,354.623,354.623,392.7864,174.3,152.18,0.000198063,118.54,137.4,110.64,6.28674,10.647114,23.92744,0.432,64.122,0.000007212,5.18416,0.000160183,6.165,143.32,129.16,1.030643043,5.362908772,1.88367E-05,204.85,631236,124.48,706.8030514,224675.6417,1244.6116,680262.2224,19117.14112,118.720489,18585.9191,1679.181216,0.01381936,0.064298484,149.0976,305.8828,7142.899825,7142.899825,7761.933071,977.21,374.8276,1.1668E-08,47.8884,126.44,30.5904,5.980878952,1.110301505,3.340390406,0.03240772,2324.187716,9.12746E-12,28.67488525,1.34341E-07,0.449025,24.3376,44.2144,17,"Z. Li, L. Luo, B. Wang, B. Su, L. Luo, L. Wang, Y. Su, J. Guo, H. Fu, The effects of V or Sn addition on the microstructural characteristics and mechanical properties of Nb-16Si-22Ti-2Al-2Cr alloy, Int. J. Refract. Met. Hard Mater 120 (2024) 106606."
alloy59,43,16,22,2,2,0,0,0,15,0,0,0,4.6,1.6407,11.724,-31.5372,11.8913,-58.522246,2269.31,736.07,6.100828,1.3716,353.0982,85.1589,7.8853,0.855657636,0.191246235,2.046126,2.68872,0.002309,220.9,3664,28.9,64.19485687,2269.1594,104.37,4110.41,528.174,27.016,583.1426,69.797,1.6407,1.20647,58.37,30.9,353.253,353.253,391.4164,172.95,151.63,0.000205398,117.89,136.75,110.14,6.16374,10.521934,23.94194,0.4432,62.972,0.000007267,5.09916,0.000160186,6.215,142.72,128.56,1.084916444,5.563894502,1.87246E-05,204.85,672600,119.71,678.7707013,214290.1522,1273.8331,654437.5419,18317.96912,123.462094,17810.09877,1687.468691,0.01374451,0.065292389,148.6131,359.3164,7244.931945,7244.931945,7968.532907,947.8475,367.5731,1.32614E-08,47.5179,121.9875,29.9804,5.706647992,1.359490821,3.363889396,0.03105028,2373.285816,9.19461E-12,28.55446745,1.34341E-07,0.480025,27.9616,45.2464,18.4,"Z. Li, L. Luo, B. Wang, B. Su, L. Luo, L. Wang, Y. Su, J. Guo, H. Fu, The effects of V or Sn addition on the microstructural characteristics and mechanical properties of Nb-16Si-22Ti-2Al-2Cr alloy, Int. J. Refract. Met. Hard Mater 120 (2024) 106606."
alloy60,57,16,22,2,2,0,0,0,0,0,0,1,4.59,1.6398,12.238,-31.4752,9.555,-53.75660005,2331.91,795.41,6.459892,1.3905,357.0356,83.3468,7.8638,0.707903367,0.154513266,1.920996,2.09692,0.001872,220.02,3492.2,31.69,70.74762367,2331.7602,100.37,4294.04,557.334,28.2137,611.4496,75.334,1.6398,1.23805,58.52,25.313,363.113,363.142,403.8234,176.47,153.03,0.000180796,119.89,138.63,111.8,6.52014,10.951454,23.92356,0.40922,66.553,0.000007249,5.37816,0.000160178,6.02,144.69,130.44,0.96514051,4.744490254,1.8941E-05,267.2596,540951.16,131.6539,754.6123747,272746.6126,1203.6931,719250.0984,20536.71584,112.4294313,20261.41427,1652.806644,0.01497796,0.062098348,155.8296,188.544931,9890.687185,9922.22309,13071.94521,1030.5491,388.3491,8.54756E-09,46.8579,132.1331,34.24,6.40294516,0.800275944,3.389847726,0.034494152,2216.422291,1.11725E-11,28.99399517,1.34343E-07,0.57835,18.2939,41.2064,15.1,"Z. Li, L. Luo, B. Wang, B. Su, L. Luo, L. Wang, Y. Su, J. Guo, H. Fu, The effects of V or Sn addition on the microstructural characteristics and mechanical properties of Nb-16Si-22Ti-2Al-2Cr alloy, Int. J. Refract. Met. Hard Mater 120 (2024) 106606."
alloy61,55,16,22,2,2,0,0,0,0,0,0,3,4.57,1.647,13.017,-31.3188,10.1166,-54.4554642,2287,851.07,6.44349,1.3943,356.7984,83.4401,8.1666,0.738746829,0.151688274,1.862436,2.08632,0.001868,218.26,3472.6,31.87,71.26369627,2286.8618,99.27,4251.2,549.654,27.8191,602.8136,75.758,1.647,1.24151,59.12,24.699,374.613,374.7,420.4174,175.41,152.53,0.000175602,119.99,138.49,112.12,6.49494,11.059414,23.9738,0.40846,66.815,0.000007543,5.42616,0.000160177,5.93,145.03,130.6,1.058334768,4.770070598,1.89536E-05,387.4324,560253.24,136.5931,790.5336338,333967.4667,1252.7971,747234.9,21542.70368,121.1748722,21816.44006,1670.745236,0.016945,0.06284377,166.8456,204.209299,15618.53819,15711.13985,24127.85037,1039.9619,389.6291,9.28562E-09,48.3699,130.7499,41.9456,6.330749176,1.347539434,3.58149524,0.034741668,2213.050875,1.54379E-11,29.23378781,1.34343E-07,0.97885,24.8491,43.6,12.8,"Z. Li, L. Luo, B. Wang, B. Su, L. Luo, L. Wang, Y. Su, J. Guo, H. Fu, The effects of V or Sn addition on the microstructural characteristics and mechanical properties of Nb-16Si-22Ti-2Al-2Cr alloy, Int. J. Refract. Met. Hard Mater 120 (2024) 106606."
alloy62,53,16,22,2,2,0,0,0,0,0,0,5,4.55,1.6542,13.714,-31.1252,10.5511,-54.78182131,2242.1,898.6,6.427405,1.3981,356.5612,83.5327,8.4466,0.760047206,0.147888323,1.803876,2.07572,0.001864,216.5,3453,32.05,71.77976887,2241.9634,98.17,4208.36,541.974,27.4245,594.1776,76.182,1.6542,1.24497,59.72,24.085,386.113,386.258,437.0114,174.35,152.03,0.000170408,120.09,138.35,112.44,6.46974,11.167374,24.02404,0.4077,67.077,0.000007837,5.47416,0.000160176,5.84,145.37,130.76,1.144670478,4.795426222,1.89661E-05,501.41,578787,141.4675,825.9222311,391156.5882,1299.4811,771549.1704,22430.72672,129.6088948,23222.30487,1688.324276,0.01880836,0.063565249,177.1416,219.119675,21081.88919,21232.88189,34633.03387,1047.1275,390.4091,9.96972E-09,49.8619,129.3275,49.4464,6.257283112,1.871492202,3.768094638,0.03498803,2209.542171,1.95303E-11,29.46897245,1.34344E-07,1.36315,31.1731,45.9424,11.4,"Z. Li, L. Luo, B. Wang, B. Su, L. Luo, L. Wang, Y. Su, J. Guo, H. Fu, The effects of V or Sn addition on the microstructural characteristics and mechanical properties of Nb-16Si-22Ti-2Al-2Cr alloy, Int. J. Refract. Met. Hard Mater 120 (2024) 106606."
alloy63,51,16,22,2,2,0,0,0,0,0,0,7,4.53,1.6614,14.342,-30.9284,10.9109,-54.90182948,2197.2,939.75,6.411628,1.4019,356.324,83.6244,8.706,0.775126728,0.143953839,1.745316,2.06512,0.00186,214.74,3433.4,32.23,72.29584147,2197.065,97.07,4165.52,534.294,27.0299,585.5416,76.606,1.6614,1.24843,60.32,23.471,397.613,397.816,453.6054,173.29,151.53,0.000165214,120.19,138.21,112.76,6.44454,11.275334,24.07428,0.40694,67.339,0.000008131,5.52216,0.000160175,5.75,145.71,130.92,1.224147642,4.820557126,1.89786E-05,609.1924,596552.44,146.2771,860.7781666,444313.977,1343.7451,792192.9096,23200.78496,137.731499,24479.00868,1705.543764,0.02056804,0.064262785,186.7176,233.276059,26280.74019,26487.4492,44587.49569,1052.0459,390.6891,1.05999E-08,51.3339,127.8659,56.7424,6.182546968,2.372134246,3.949645922,0.035233236,2205.896179,2.34499E-11,29.69954909,1.34344E-07,1.73125,37.2659,48.2336,4.3,"Z. Li, L. Luo, B. Wang, B. Su, L. Luo, L. Wang, Y. Su, J. Guo, H. Fu, The effects of V or Sn addition on the microstructural characteristics and mechanical properties of Nb-16Si-22Ti-2Al-2Cr alloy, Int. J. Refract. Met. Hard Mater 120 (2024) 106606."
alloy64,62,16,22,0,0,0,0,0,0,0,0,0,4.62,1.6348,11.824,-30.4224,7.6714,-48.84979323,2402.09,724.41,6.610214,1.3921,356.4368,82.6713,7.5566,0.605717932,0.134345078,2.002196,2.08156,0.001248,220.98,3420.4,32.5,72.6262894,2401.94,98.14,4401.42,575.852,28.848,630.52,76.43,1.6348,1.24558,57.68,25.678,356.66,356.66,394.8234,179.24,154.64,0.000186097,120.36,139.62,112,6.67774,10.98668,23.93144,0.39328,61.952,0.000006834,4.70416,0.000160181,6.08,144.94,130.84,0.864929159,4.677666926,2.8073E-06,205.8196,354423.84,123.81,707.2877992,203635.0964,517.8004,632141.8036,17842.6813,100.516096,17184.0896,1623.1861,0.01398096,0.059524044,142.8176,167.103316,6822.788704,6822.788704,7286.344258,965.5824,365.3504,7.37839E-09,44.3904,125.9156,29.44,6.281121272,0.224844378,3.302894886,0.030157762,1607.511696,3.68904E-12,7.077678854,1.34342E-07,0.0336,9.3364,37.1344,6.4,"Q. Wang, X. Wang, R. Chen, D. Chen, T. Zhao, Q. Xu, Y. Su, Microstructure evolution and fracture toughness of Nb–Si–Ti based alloy with Cr, Mo and W elements addition, Intermetallics 140 (2022) 107408."
alloy65,54,16,22,0,8,0,0,0,0,0,0,0,4.7,1.6396,11.795,-31.2928,9.6536,-54.04141186,2356.49,715.65,6.482695,1.3777,353.3136,84.3303,8.0788,0.726959935,0.147909336,1.982516,2.23756,0.001384,220.98,3617.2,31.14,69.3534678,2356.34,112.06,4235.58,548.812,28.384,603.6784,74.686,1.6396,1.23526,57.84,27.03,353.508,353.508,391.6714,176.68,152.64,0.000192553,119.24,137.62,110.96,6.56734,10.697936,23.83144,0.408,65.168,0.000006642,4.80016,0.000160179,6.28,143.5,129.64,0.847427971,4.666884206,2.78934E-06,205.8196,823280.16,121.9604,697.7222817,195804.6644,2937.0964,744249.6436,20618.71586,104.892544,19968.05741,1624.434804,0.01391184,0.060430552,141.6144,193.3213,7102.58544,7102.58544,7806.723068,944.8976,373.9104,8.51496E-09,48.4224,142.3956,33.5584,6.003474104,1.267763451,3.284182886,0.028873,1673.375376,3.93404E-12,7.566864134,1.34343E-07,0.4616,30.13,46.1104,13.4,"Q. Wang, X. Wang, R. Chen, D. Chen, T. Zhao, Q. Xu, Y. Su, Microstructure evolution and fracture toughness of Nb–Si–Ti based alloy with Cr, Mo and W elements addition, Intermetallics 140 (2022) 107408."
alloy66,56,16,22,0,0,0,0,6,0,0,0,0,4.68,1.6684,17.126,-30.7392,9.3102,-53.18469567,2410.85,732.43,6.681833,1.3881,355.5164,83.0446,7.5622,0.730191276,0.162803108,1.915916,2.16856,0.001278,220.98,3583,32.56,72.8089072,2410.7,111.58,4395.12,570.452,28.92,626.0788,75.578,1.6684,1.24258,57.86,24.724,355.718,355.718,393.8814,178.76,154.04,0.000179095,120.12,139.08,111.82,6.78034,10.89626,23.89904,0.39244,67.07,0.000006684,5.50216,0.000160175,6.05,144.52,130.6,0.885300903,4.634156486,2.77052E-06,205.8196,788013,124.8864,715.2172784,210935.33,3532.1236,625007.3056,17174.7229,100.3024,16582.83461,1618.080916,0.02932944,0.059572524,141.6404,177.694624,6886.16458,6886.16458,7421.61998,951.1824,359.7584,7.43365E-09,43.0656,122.5136,28.5076,6.834332264,0.379276312,3.276018438,0.030384326,1933.4157,3.90174E-12,20.23963549,1.34344E-07,0.0525,11.2096,36.52,6.8,"Q. Wang, X. Wang, R. Chen, D. Chen, T. Zhao, Q. Xu, Y. Su, Microstructure evolution and fracture toughness of Nb–Si–Ti based alloy with Cr, Mo and W elements addition, Intermetallics 140 (2022) 107408."
alloy67,60,16,22,0,0,0,0,0,0,2,0,0,4.64,1.65,15.57,-30.6272,8.4059,-50.97779984,2420.99,757.19,6.791702,1.3909,356.1664,82.7792,7.5578,0.66446165,0.147161237,1.967876,2.42656,0.001312,220.98,3454.28,33.16,74.444962,2420.84,104.26,4417.64,578.732,29.012,632.88,76.28,1.65,1.24708,57.76,25.2178,356.3824,356.3824,394.5458,179.14,154.6,0.000183125,120.26,139.42,111.98,6.89134,10.960862,23.92484,0.39062,64.338,0.000006778,4.97016,0.000160179,6.11,144.8,130.76,0.88435675,9.867115526,2.89946E-06,205.8196,414707.2016,156.3744,943.1243843,234295.0544,2437.0324,665002.5504,18848.99938,101.162256,17940.7056,1621.3876,0.024244,0.059680554,142.3824,175.7117252,6841.144282,6841.144282,7325.888156,962.3204,364.68,7.50863E-09,43.9524,124.9236,29.2996,9.325117784,0.265028597,3.296204334,0.031186916,1847.089956,3.79052E-12,11.60650973,1.34343E-07,0.0729,10,36.9424,7,"Q. Wang, X. Wang, R. Chen, D. Chen, T. Zhao, Q. Xu, Y. Su, Microstructure evolution and fracture toughness of Nb–Si–Ti based alloy with Cr, Mo and W elements addition, Intermetallics 140 (2022) 107408."
alloy68,52,16,22,0,8,0,0,0,0,2,0,0,4.72,1.6548,15.501,-31.3952,10.3647,-56.01540473,2375.39,750.84,6.668784,1.3765,353.0432,84.4261,8.0691,0.784202831,0.159186612,1.948196,2.58256,0.001448,220.98,3651.08,31.8,71.1721404,2375.24,118.18,4251.8,551.692,28.548,606.0384,74.536,1.6548,1.23676,57.92,26.5698,353.2304,353.2304,391.3938,176.58,152.6,0.000189581,119.14,137.42,110.94,6.78094,10.672118,23.82484,0.40534,67.554,0.000006586,5.06616,0.000160177,6.31,143.36,129.56,0.865504727,9.748692806,2.8641E-06,205.8196,870228.3536,156.32,945.4632487,228188.3024,4685.9476,782490.24,21780.78434,105.690896,20851.36576,1622.113104,0.02402896,0.060618022,141.1536,203.17409,7119.191028,7119.191028,7844.516976,941.1236,373.08,8.68358E-09,47.7604,140.6036,33.3764,9.094633496,1.293038085,3.276172334,0.029980464,1897.606884,4.014E-12,12.04462301,1.34343E-07,0.4889,30.3904,45.7264,10.9,"Q. Wang, X. Wang, R. Chen, D. Chen, T. Zhao, Q. Xu, Y. Su, Microstructure evolution and fracture toughness of Nb–Si–Ti based alloy with Cr, Mo and W elements addition, Intermetallics 140 (2022) 107408."
alloy69,48,16,22,0,8,0,0,6,0,0,0,0,4.76,1.6732,17.011,-31.36,11.2197,-57.89739543,2365.25,724.71,6.555176,1.3737,352.3932,84.6624,8.0494,0.846217966,0.173162651,1.896236,2.32456,0.001414,220.98,3779.8,31.2,69.5360856,2365.1,125.5,4229.28,543.412,28.456,599.2372,73.834,1.6732,1.23226,58.02,26.076,352.566,352.566,390.7294,176.2,152.04,0.000185551,119,137.08,110.78,6.66994,10.607516,23.79904,0.40716,70.286,0.000006492,5.59816,0.000160173,6.25,143.08,129.4,0.864403734,4.596229766,2.7444E-06,205.8196,1192869.96,123.2,706.8471118,203903.81,5577.25,735025.5616,19658.72546,104.745664,19128.38459,1616.357844,0.02893776,0.060417112,140.3796,206.492224,7160.022948,7160.022948,7936.060422,928.04,365.9184,8.66063E-09,46.56,136.8336,32.2516,6.579339176,1.369978921,3.250826438,0.029124294,1966.360404,4.08914E-12,20.57560477,1.34345E-07,0.4925,30.7936,44.92,8.2,"Q. Wang, X. Wang, R. Chen, D. Chen, T. Zhao, Q. Xu, Y. Su, Microstructure evolution and fracture toughness of Nb–Si–Ti based alloy with Cr, Mo and W elements addition, Intermetallics 140 (2022) 107408."
alloy70,54,16,22,0,0,0,0,6,0,2,0,0,4.7,1.6836,19.64,-30.8768,10.0276,-55.2413611,2429.75,764.34,6.865001,1.3869,355.246,83.1491,7.56,0.789089579,0.175450015,1.881596,2.51356,0.001342,220.98,3616.88,33.22,74.6275798,2429.6,117.7,4411.34,573.332,29.084,628.4388,75.428,1.6836,1.24408,57.94,24.2638,355.4404,355.4404,393.6038,178.66,154,0.000176123,120.02,138.88,111.8,6.99394,10.870442,23.89244,0.38978,69.456,0.000006628,5.76816,0.000160173,6.08,144.38,130.52,0.898806234,9.763575086,2.85884E-06,205.8196,837278.5856,157.3716,950.3896195,241264.16,5286.85,658072.4244,18212.14498,100.924944,17360.41308,1616.026816,0.03857104,0.059738034,141.1764,185.4249716,6903.99716,6903.99716,7460.64088,947.8244,359.04,7.52227E-09,42.5796,121.3056,28.36,9.834498056,0.414791605,3.268900206,0.031409012,2148.570864,3.98642E-12,24.34393037,1.34345E-07,0.0936,11.7556,36.2896,11.4,"Q. Wang, X. Wang, R. Chen, D. Chen, T. Zhao, Q. Xu, Y. Su, Microstructure evolution and fracture toughness of Nb–Si–Ti based alloy with Cr, Mo and W elements addition, Intermetallics 140 (2022) 107408."
alloy71,46,16,22,0,8,0,0,6,0,2,0,0,4.78,1.6884,19.502,-31.3952,11.9109,-59.79257224,2384.15,758.9,6.743032,1.3725,352.1228,84.7549,8.0363,0.904513181,0.18443031,1.861916,2.66956,0.001478,220.98,3813.68,31.86,71.3547582,2384,131.62,4245.5,546.292,28.62,601.5972,73.684,1.6884,1.23376,58.1,25.6158,352.2884,352.2884,390.4518,176.1,152,0.000182579,118.9,136.88,110.76,6.88354,10.581698,23.79244,0.4045,72.672,0.000006436,5.86416,0.000160171,6.28,142.94,129.32,0.876558231,9.618008366,2.81532E-06,205.8196,1228800.378,157.4804,953.9238348,235956.32,7161.5956,773470.53,20851.89794,105.5204,20032.65541,1613.780544,0.03803344,0.060613582,139.89,215.4669524,7176.105537,7176.105537,7973.331331,924.17,365.04,8.78763E-09,45.85,134.8256,32.0624,9.626667848,1.390584628,3.242388206,0.03022729,2166.168816,4.1523E-12,24.62882765,1.34345E-07,0.5216,30.9364,44.4976,8.7,"Q. Wang, X. Wang, R. Chen, D. Chen, T. Zhao, Q. Xu, Y. Su, Microstructure evolution and fracture toughness of Nb–Si–Ti based alloy with Cr, Mo and W elements addition, Intermetallics 140 (2022) 107408."
alloy72,47.2,16,24.7,1.9,2,8.2,0,0,0,0,0,0,4.493,1.60997,15.048,-32.47221,11.2372,-58.22113008,2291.4,771.01,6.647357,1.3748,376.8594,96.7516,9.8986,0.792952499,0.114686041,1.802971,10.670487,0.0035596,217.089,3479.66,33.657,76.35730687,2314.17493,99.038,4266.784,546.0101,28.07165,599.7525,65.9859,1.60997,1.193429,57.895,24.1487,355.45249,355.45249,413.50812,177.306,154.117,0.000168436,119.882,138.834,111.921,6.817589,11.1030594,24.00392,0.406012,62.8627,7.0065E-06,4.93066,0.000160197,6.02725,145.616,131.135,0.933822834,783.0654376,4.21813E-05,262.097079,558746.4844,251.365351,1616.131011,226584.1509,1221.154556,687212.1133,18692.00181,110.6255338,18156.94006,2132.004991,0.022643699,0.074803385,153.559975,217.0434183,7064.568924,7064.568924,7684.642967,1052.626364,413.271311,8.64316E-09,48.848076,139.892444,37.336759,9.77165233,0.994264128,3.539264994,0.037993102,2366.939499,8.88477E-12,27.99760212,1.34337E-07,0.385444938,30.848544,53.258775,13.52,"Q. Wang, X. Wang, R. Chen, Z. Zhou, Y. Su, H. Fu, Improvement of microstructure and fracture toughness of MASC alloy by element substitution of Zr for Hf, J. Alloys Compd. 892 (2022) 162127."
